科系代碼,學校,科系,招收人數,國文檢定,英文檢定,數學檢定,社會檢定,自然檢定,總級分檢定,英聽檢定,國文倍率,英文倍率,數學倍率,社會倍率,自然倍率,總級分倍率,第二試時間(起),第二試時間(訖),篩選一,篩選二,篩選三,篩選四,篩選五,篩選六,超額篩選
001012,國立臺灣大學,中國文學系,20,前標,均標,均標,均標,均標,--,--,3,6,--,8,--,--,104.4.10,104.4.10,社=14,英=14,國=15,,,,有
001022,國立臺灣大學,外國語文學系,47,前標,頂標,--,前標,--,--,--,--,2,--,--,--,4,104.4.11,104.4.11,總=68,英=15,,,,,有
001032,國立臺灣大學,歷史學系,24,前標,前標,均標,前標,--,--,--,3,3,--,3,--,--,104.4.10,104.4.11,國+英+社=44,,,,,,有
001042,國立臺灣大學,哲學系,20,前標,前標,均標,前標,均標,--,--,6,3,--,6,--,--,104.4.11,104.4.12,國+社=28,英=14,,,,,有
001052,國立臺灣大學,人類學系,9,--,均標,--,均標,--,--,--,--,5,--,--,--,2,104.4.11,104.4.11,英=14,總=69,,,,,無
001062,國立臺灣大學,圖書資訊學系,19,前標,前標,均標,均標,均標,--,--,5,6,--,--,--,3,104.4.11,104.4.11,英=15,國=14,總=68,,,,有
001072,國立臺灣大學,日本語文學系,15,前標,前標,--,--,--,--,--,2.5,2.5,--,--,--,--,104.4.11,104.4.11,國+英=29,,,,,,有
001092,國立臺灣大學,數學系,24,均標,均標,均標,後標,均標,--,--,--,--,3,--,3,--,104.4.11,104.4.11,數+自=29,,,,,,有
001102,國立臺灣大學,物理學系,32,前標,前標,--,均標,--,--,--,--,--,3,--,6,--,104.4.11,104.4.11,自=11,數=15,,,,,有
001112,國立臺灣大學,化學系,32,均標,均標,均標,底標,均標,--,--,--,3,4,--,5,--,104.4.11,104.4.11,自=15,數=13,英=14,,,,有
001122,國立臺灣大學,地質科學系,22,均標,均標,均標,--,均標,--,--,10,8,6,--,3,--,104.4.10,104.4.10,國=12,英=13,數=13,自=14,,,有
001132,國立臺灣大學,心理學系,13,均標,均標,均標,均標,均標,--,--,--,3,3,3,3,--,104.4.18,104.4.18,英+數+社+自=58,,,,,,有
001142,國立臺灣大學,地理環境資源學系,14,均標,均標,均標,--,--,--,--,6,3,5,--,--,--,104.4.12,104.4.12,國=13,數=12,英=14,,,,有
001152,國立臺灣大學,大氣科學系,16,均標,均標,均標,均標,均標,--,--,3,3,3,--,3,--,104.4.11,104.4.11,國+英+數+自=56,,,,,,有
001162,國立臺灣大學,政治學系政治理論組,12,前標,前標,均標,前標,--,--,--,5,3,--,5,--,--,104.4.12,104.4.12,國+社=29,英=15,,,,,有
001172,國立臺灣大學,政治學系國際關係組,12,前標,前標,均標,前標,--,--,--,5,3,--,5,--,--,104.4.12,104.4.12,國+社=29,英=15,,,,,有
001182,國立臺灣大學,政治學系公共行政組,12,前標,前標,均標,前標,--,--,--,5,3,--,5,--,--,104.4.12,104.4.12,國+社=29,英=15,,,,,有
001192,國立臺灣大學,經濟學系,48,--,--,前標,--,--,--,--,--,--,3,--,--,4,104.4.11,104.4.11,總=70,數=14,,,,,有
001202,國立臺灣大學,社會學系,10,前標,前標,前標,--,--,--,--,4,2,4,--,--,--,104.4.10,104.4.10,國+數=26,英=15,,,,,有
001212,國立臺灣大學,社會工作學系,19,均標,均標,均標,均標,--,--,--,5,2,5,5,--,--,104.4.11,104.4.11,國+數+社=39,英=15,,,,,有
001222,國立臺灣大學,醫學系,35,頂標,頂標,頂標,前標,頂標,--,--,3,2,2,8,2,3,104.4.10,104.4.11,社=14,國+總=88,英+數+自=45,,,,有
001232,國立臺灣大學,牙醫學系,8,前標,頂標,頂標,均標,頂標,--,--,2.5,4,4,--,4,3,104.4.11,104.4.11,英+數+自=44,總=74,國=15,,,,有
001242,國立臺灣大學,藥學系,15,均標,均標,前標,--,前標,--,--,--,2.5,4,--,4,3,104.4.10,104.4.11,數+自=30,總=72,英=14,,,,有
001252,國立臺灣大學,醫學檢驗暨生物技術學系,7,均標,--,--,--,均標,--,--,--,6,5,--,2.5,--,104.4.10,104.4.10,英=15,數=13,自=15,,,,有
001262,國立臺灣大學,護理學系,12,--,均標,--,--,均標,--,--,--,6,--,--,3,--,104.4.11,104.4.11,英=14,自=14,,,,,有
001272,國立臺灣大學,物理治療學系,17,均標,前標,前標,--,前標,--,--,--,6,--,--,3,--,104.4.11,104.4.11,英=14,自=15,,,,,有
001282,國立臺灣大學,職能治療學系,14,前標,前標,均標,均標,均標,--,--,--,6,--,--,3,--,104.4.17,104.4.17,英=15,自=15,,,,,有
001292,國立臺灣大學,土木工程學系,70,均標,均標,均標,--,均標,--,--,2.5,2.5,2.5,--,2.5,--,104.4.11,104.4.11,國+英+數+自=55,,,,,,有
001302,國立臺灣大學,機械工程學系,101,均標,均標,均標,--,均標,--,--,2.5,2.5,2.5,--,2.5,--,104.4.11,104.4.11,國+英+數+自=57,,,,,,有
001312,國立臺灣大學,化學工程學系,81,頂標,頂標,頂標,--,頂標,--,--,3,3,3,--,3,--,104.4.11,104.4.11,國+英+數+自=56,,,,,,有
001322,國立臺灣大學,工程科學及海洋工程學系,32,--,均標,均標,--,均標,--,--,--,3,3,--,3,3,104.4.11,104.4.11,英+數+自+總=112,,,,,,有
001332,國立臺灣大學,材料科學與工程學系,37,頂標,頂標,頂標,--,頂標,--,--,3,3,3,--,3,--,104.4.11,104.4.11,國+英+數+自=58,,,,,,有
001342,國立臺灣大學,農藝學系,15,--,均標,--,--,--,--,--,--,--,--,--,--,2.5,104.4.11,104.4.11,總=69,,,,,,有
001352,國立臺灣大學,生物環境系統工程學系,22,均標,均標,均標,--,均標,--,--,--,5,5,--,3,--,104.4.11,104.4.11,英+數=26,自=15,,,,,有
001362,國立臺灣大學,農業化學系,15,均標,均標,均標,均標,均標,--,--,--,8,10,--,3,--,104.4.11,104.4.11,數=12,英=13,自=15,,,,有
001372,國立臺灣大學,森林環境暨資源學系,36,均標,均標,均標,均標,均標,--,--,--,--,--,--,3,2.5,104.4.18,104.4.18,自=15,總=68,,,,,有
001382,國立臺灣大學,動物科學技術學系,8,均標,均標,均標,--,前標,--,--,6,6,6,--,3,--,104.4.11,104.4.11,國+英+數=40,自=14,,,,,有
001392,國立臺灣大學,農業經濟學系,17,均標,均標,均標,--,--,--,--,4,4,5,3,3,--,104.4.11,104.4.11,數=12,國+英=28,社+自=27,,,,有
001402,國立臺灣大學,園藝暨景觀學系,25,--,均標,均標,--,均標,--,--,4,4,4,--,4,3,104.4.10,104.4.10,國+英+數+自=55,總=69,,,,,有
001412,國立臺灣大學,獸醫學系,26,均標,均標,均標,--,均標,均標,--,5,5,2,--,2,5,104.4.10,104.4.10,國+英+總=95,數+自=29,,,,,有
001422,國立臺灣大學,生物產業傳播暨發展學系,15,前標,前標,前標,前標,均標,--,--,3,3,3,--,--,--,104.4.18,104.4.18,國+英+數=42,,,,,,有
001432,國立臺灣大學,生物產業機電工程學系,14,--,--,均標,--,--,--,--,--,3.5,3.5,--,3.5,3.5,104.4.11,104.4.11,英+數+自+總=111,,,,,,有
001442,國立臺灣大學,昆蟲學系,10,均標,均標,均標,--,均標,--,--,--,5,4,--,3,--,104.4.11,104.4.11,英=13,數=13,自=13,,,,有
001452,國立臺灣大學,植物病理與微生物學系,8,均標,均標,均標,均標,均標,--,--,--,4,--,--,6,10,104.4.11,104.4.11,總=67,自=15,英=15,,,,有
001462,國立臺灣大學,工商管理學系企業管理組,25,--,頂標,頂標,--,--,--,--,--,2.5,2.5,--,--,2.5,104.4.10,104.4.10,英+數+總=101,,,,,,有
001472,國立臺灣大學,工商管理學系科技管理組,21,--,頂標,頂標,--,--,--,--,--,2.5,2.5,--,--,2.5,104.4.10,104.4.10,英+數+總=100,,,,,,有
001482,國立臺灣大學,會計學系,43,頂標,頂標,頂標,前標,前標,--,--,--,2,2,--,--,4,104.4.17,104.4.17,總=70,英+數=29,,,,,有
001492,國立臺灣大學,財務金融學系,45,--,頂標,頂標,--,--,--,--,--,2,3,--,--,4,104.4.10,104.4.10,總=72,數=14,英=15,,,,有
001502,國立臺灣大學,國際企業學系,45,--,頂標,頂標,--,--,--,--,--,3,2,--,--,4,104.4.10,104.4.10,總=71,英=15,數=14,,,,有
001512,國立臺灣大學,資訊管理學系,35,--,頂標,頂標,--,--,--,--,--,2.5,2.5,--,--,3,104.4.12,104.4.12,總=71,英+數=28,,,,,有
001522,國立臺灣大學,公共衛生學系,20,均標,均標,均標,均標,均標,--,--,--,--,--,--,--,2.5,104.4.11,104.4.11,總=70,,,,,,有
001532,國立臺灣大學,電機工程學系,93,頂標,頂標,頂標,前標,頂標,--,--,--,2.5,2.5,--,2.5,--,104.4.12,104.4.12,英+數+自=44,,,,,,有
001542,國立臺灣大學,資訊工程學系,72,--,頂標,頂標,--,頂標,--,--,--,10,2.5,--,10,--,104.4.12,104.4.12,英+自=27,數=15,,,,,有
001552,國立臺灣大學,法律學系法學組,15,頂標,頂標,前標,頂標,前標,--,--,2,2,--,3,--,5,104.4.12,104.4.12,總=71,社=15,國+英=30,,,,有
001562,國立臺灣大學,法律學系司法組,15,頂標,頂標,前標,頂標,前標,--,--,2,2,--,3,--,5,104.4.12,104.4.12,總=71,社=15,國+英=30,,,,有
001572,國立臺灣大學,法律學系財經法學組,15,頂標,頂標,前標,頂標,前標,--,--,2,2,--,3,--,5,104.4.12,104.4.12,總=71,社=15,國+英=30,,,,有
001582,國立臺灣大學,生命科學系,18,前標,--,前標,--,--,--,--,--,3,--,--,3,5,104.4.11,104.4.11,總=68,英+自=29,,,,,有
001592,國立臺灣大學,生化科技學系,19,均標,均標,均標,均標,均標,--,--,--,6,10,--,2,--,104.4.11,104.4.11,數=10,英=14,自=15,,,,有
001602,國立臺灣大學,護理學系(公費生),2,--,均標,--,--,均標,--,--,--,6,--,--,3,--,104.4.11,104.4.11,英=12,自=13,,,,,有
002012,國立臺灣師範大學,教育學系,26,前標,前標,均標,均標,--,--,--,2.5,3,--,--,--,4,104.4.10,104.4.10,總=61,英=14,國=14,,,,有
002022,國立臺灣師範大學,教育心理與輔導學系,15,前標,前標,均標,--,--,--,--,--,--,--,--,--,1.5,104.4.11,104.4.11,總=69,,,,,,無
002032,國立臺灣師範大學,社會教育學系,13,前標,前標,均標,--,--,--,--,--,--,--,--,--,3,104.4.11,104.4.11,總=64,,,,,,有
002042,國立臺灣師範大學,健康促進與衛生教育學系,10,--,均標,--,--,均標,--,--,--,4,--,--,4,--,104.4.12,104.4.12,英+自=27,,,,,,有
002052,國立臺灣師範大學,健康促進與衛生教育學系(公費生),1,--,頂標,--,--,頂標,--,--,--,10,--,--,10,--,104.4.12,104.4.12,英+自=29,,,,,,有
002062,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,15,均標,均標,--,--,--,--,--,--,--,--,--,--,2.5,104.4.11,104.4.11,總=63,,,,,,有
002072,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,15,--,均標,--,--,--,--,--,--,--,--,--,--,2.5,104.4.11,104.4.11,總=63,,,,,,有
002082,國立臺灣師範大學,人類發展與家庭學系營養科學與教育組,11,--,均標,--,--,均標,--,--,--,--,--,--,2.5,3,104.4.11,104.4.11,總=64,自=13,,,,,有
002092,國立臺灣師範大學,公民教育與活動領導學系,30,前標,前標,均標,前標,--,--,--,--,--,--,--,--,2,104.4.11,104.4.11,總=63,,,,,,有
002102,國立臺灣師範大學,公民教育與活動領導學系甲組(公費生),1,前標,前標,均標,前標,--,--,--,--,--,--,--,--,2,104.4.11,104.4.11,總=71,,,,,,無
002112,國立臺灣師範大學,公民教育與活動領導學系乙組(公費生),2,前標,前標,均標,前標,--,--,--,--,--,--,--,--,2,104.4.11,104.4.11,總=70,,,,,,無
002122,國立臺灣師範大學,特殊教育學系,15,均標,均標,均標,--,--,--,--,4,5,6,--,--,3,104.4.10,104.4.10,數=7,英=11,國=13,總=60,,,有
002132,國立臺灣師範大學,特殊教育學系甲組(公費生),1,均標,均標,均標,--,--,--,--,5,--,--,--,--,8,104.4.10,104.4.10,總=66,國=14,,,,,無
002142,國立臺灣師範大學,特殊教育學系乙組(公費生),1,均標,頂標,頂標,--,頂標,均標,--,--,--,6,--,5,7,104.4.10,104.4.10,總=70,數=13,自=15,,,,有
002152,國立臺灣師範大學,特殊教育學系丙組(公費生),1,均標,頂標,頂標,--,頂標,均標,--,--,--,6,--,5,7,104.4.10,104.4.10,總=69,數=14,自=14,,,,有
002162,國立臺灣師範大學,國文學系,40,頂標,前標,--,前標,--,前標,--,2,--,--,--,--,--,104.4.11,104.4.11,國=15,,,,,,有
002172,國立臺灣師範大學,英語學系,40,前標,頂標,--,--,--,--,A級,3,2,--,4,--,6,104.4.10,104.4.10,總=51,社=12,國=13,英=15,,,有
002182,國立臺灣師範大學,歷史學系,15,前標,前標,--,前標,--,--,--,5,4,--,3,--,6,104.4.11,104.4.11,總=61,國=14,英=13,社=14,,,有
002192,國立臺灣師範大學,地理學系,30,前標,前標,均標,前標,均標,--,--,--,--,3,--,4,5,104.4.11,104.4.11,總=56,自=11,數=10,,,,有
