科系代碼,學校,科系,學測國文,學測英文,學測數學,學測社會,學測自然,學測總級分,國文,英文,數學甲,數學乙,物理,化學,生物,歷史,地理,公民,英聽
00101,國立臺灣大學,公共衛生學系,--,--,--,--,--,--,1.00,1.00,1.00,--,--,1.00,1.00,--,--,--,--
00102,國立臺灣大學,財務金融學系,--,--,--,均標,均標,--,1.00,1.50,--,2.00,--,--,--,--,--,--,--
00103,國立臺灣大學,人類學系,--,--,--,--,--,--,1.00,1.25,--,--,--,--,--,1.00,1.00,1.00,--
00104,國立臺灣大學,中國文學系,--,--,--,--,--,--,1.50,1.25,--,1.00,--,--,--,1.25,1.00,--,--
00105,國立臺灣大學,日本語文學系,--,--,--,--,--,--,1.50,1.50,--,1.00,--,--,--,1.00,1.00,--,--
00106,國立臺灣大學,外國語文學系,--,--,--,--,--,--,1.25,2.00,--,1.00,--,--,--,1.00,--,1.00,--
00107,國立臺灣大學,哲學系,--,--,--,--,--,--,1.00,1.00,--,1.00,--,--,--,1.00,--,1.00,--
00108,國立臺灣大學,圖書資訊學系,--,--,--,--,--,--,1.25,1.25,--,1.00,--,--,--,1.00,--,1.00,--
00109,國立臺灣大學,歷史學系,--,--,--,--,--,--,1.00,1.00,--,--,--,--,--,1.00,1.00,1.00,--
00110,國立臺灣大學,戲劇學系,--,--,--,--,--,--,1.50,1.50,--,1.00,--,--,--,1.00,1.00,--,--
00111,國立臺灣大學,法律學系司法組,--,--,--,--,--,--,1.00,1.00,--,1.00,--,--,--,1.00,--,1.00,--
00112,國立臺灣大學,法律學系法學組,--,--,--,--,--,--,1.00,1.00,--,1.00,--,--,--,1.00,--,1.00,--
00113,國立臺灣大學,法律學系財經法學組,--,--,--,--,--,--,1.00,1.00,--,1.00,--,--,--,1.00,--,1.00,--
00114,國立臺灣大學,社會工作學系,--,--,--,--,--,--,1.25,1.25,--,1.00,--,--,--,1.00,--,1.00,--
00115,國立臺灣大學,社會學系,--,--,--,--,--,--,1.50,1.50,--,1.50,--,--,--,1.00,--,1.00,--
00116,國立臺灣大學,政治學系公共行政組,--,--,--,--,--,--,1.25,1.25,--,1.00,--,--,--,1.00,1.00,--,--
00117,國立臺灣大學,政治學系政治理論組,--,--,--,--,--,--,1.25,1.25,--,1.00,--,--,--,1.00,1.00,--,--
00118,國立臺灣大學,政治學系國際關係組,--,--,--,--,--,--,1.25,1.25,--,1.00,--,--,--,1.00,1.00,--,--
00119,國立臺灣大學,經濟學系,--,--,--,均標,均標,--,1.50,1.50,--,2.00,--,--,--,--,--,--,--
00120,國立臺灣大學,工商管理學系企業管理組,--,--,--,--,--,--,1.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
00121,國立臺灣大學,國際企業學系,--,--,--,--,--,--,1.00,2.00,--,2.00,--,--,--,1.00,1.00,--,--
00122,國立臺灣大學,會計學系,--,--,--,--,--,--,1.25,2.00,--,1.25,--,--,--,1.00,1.00,--,--
00123,國立臺灣大學,土木工程學系,--,--,--,--,--,--,1.00,1.00,1.00,--,1.00,1.00,--,--,--,--,--
